,Song,User,Year
0,59,feybmertn,2019-01-16
1,83,feybmertn,2019-01-17
2,100,feybmertn,2019-01-18
3,93,feybmertn,2019-01-19
4,41,feybmertn,2019-01-20
5,39,feybmertn,2019-01-21
6,56,feybmertn,2019-01-22
7,60,feybmertn,2019-01-23
8,57,feybmertn,2019-01-24
9,67,feybmertn,2019-01-25
10,77,feybmertn,2019-01-26
11,15,feybmertn,2019-01-27
12,19,feybmertn,2019-01-28
13,15,feybmertn,2019-01-29
14,101,feybmertn,2019-01-30
15,92,feybmertn,2019-01-31
16,70,feybmertn,2019-02-01
17,34,feybmertn,2019-02-02
18,39,feybmertn,2019-02-03
19,43,feybmertn,2019-02-04
20,24,feybmertn,2019-02-05
21,31,feybmertn,2019-02-06
22,84,feybmertn,2019-02-07
23,39,feybmertn,2019-02-08
24,20,feybmertn,2019-02-09
25,65,feybmertn,2019-02-10
26,84,feybmertn,2019-02-11
27,65,feybmertn,2019-02-12
28,69,feybmertn,2019-02-13
29,113,feybmertn,2019-02-14
30,144,feybmertn,2019-02-15
31,110,feybmertn,2019-02-16
32,82,feybmertn,2019-02-17
33,96,feybmertn,2019-02-18
34,107,feybmertn,2019-02-19
35,112,feybmertn,2019-02-20
36,57,feybmertn,2019-02-21
37,150,feybmertn,2019-02-22
38,162,feybmertn,2019-02-23
39,128,feybmertn,2019-02-24
40,139,feybmertn,2019-02-25
41,122,feybmertn,2019-02-26
42,131,feybmertn,2019-02-27
43,135,feybmertn,2019-02-28
44,136,feybmertn,2019-03-01
45,82,feybmertn,2019-03-02
46,147,feybmertn,2019-03-03
47,185,feybmertn,2019-03-04
48,163,feybmertn,2019-03-05
49,177,feybmertn,2019-03-06
50,97,feybmertn,2019-03-07
51,111,feybmertn,2019-03-08
52,108,feybmertn,2019-03-09
53,95,feybmertn,2019-03-10
54,95,feybmertn,2019-03-11
55,156,feybmertn,2019-03-12
56,115,feybmertn,2019-03-13
57,67,feybmertn,2019-03-14
58,151,feybmertn,2019-03-15
59,110,feybmertn,2019-03-16
60,103,feybmertn,2019-03-17
61,46,feybmertn,2019-03-18
62,56,feybmertn,2019-03-19
63,162,feybmertn,2019-03-20
64,96,feybmertn,2019-03-21
65,87,feybmertn,2019-03-22
66,65,feybmertn,2019-03-23
67,26,feybmertn,2019-03-24
68,79,feybmertn,2019-03-25
69,94,feybmertn,2019-03-26
70,79,feybmertn,2019-03-27
71,34,feybmertn,2019-03-28
72,55,feybmertn,2019-03-29
73,48,feybmertn,2019-03-30
74,79,feybmertn,2019-03-31
75,46,feybmertn,2019-04-01
76,36,feybmertn,2019-04-02
77,9,feybmertn,2019-04-03
78,7,feybmertn,2019-04-04
79,18,feybmertn,2019-04-05
80,40,feybmertn,2019-04-06
81,11,feybmertn,2019-04-07
82,41,feybmertn,2019-04-08
83,62,feybmertn,2019-04-09
84,31,feybmertn,2019-04-10
85,31,feybmertn,2019-04-11
86,97,feybmertn,2019-04-12
87,50,feybmertn,2019-04-13
88,81,feybmertn,2019-04-14
89,63,feybmertn,2019-04-15
90,120,feybmertn,2019-04-16
91,79,feybmertn,2019-04-17
92,70,feybmertn,2019-04-18
93,35,feybmertn,2019-04-19
94,37,feybmertn,2019-04-20
95,73,feybmertn,2019-04-21
96,65,feybmertn,2019-04-22
97,78,feybmertn,2019-04-23
98,24,feybmertn,2019-04-24
99,51,feybmertn,2019-04-25
100,63,feybmertn,2019-04-26
101,56,feybmertn,2019-04-27
102,91,feybmertn,2019-04-28
103,91,feybmertn,2019-04-29
104,58,feybmertn,2019-04-30
105,77,feybmertn,2019-05-01
106,73,feybmertn,2019-05-02
107,93,feybmertn,2019-05-03
108,95,feybmertn,2019-05-04
109,86,feybmertn,2019-05-05
110,111,feybmertn,2019-05-06
