,mbid,Song,Artist,Album,Date,Year,Month
739,11716f81-01f9-4724-9824-fb3b86251c85,29 #Strafford APTS,Bon Iver,"22, A Million",2022-09-01 14:17:00,2022,9
740,,Into the Mystic - 2013 Remaster,Van Morrison,Moondance,2022-09-01 14:14:00,2022,9
741,,Summer Lover,Harbor & Home,Dark Days,2022-09-01 14:11:00,2022,9
742,10807e3c-23ba-4821-bbdb-f450e1e0acc1,Glue Myself Shut,Noah Kahan,Cape Elizabeth,2022-09-01 14:07:00,2022,9
743,,Adeline (feat. Kathleen),John-Robert,Adeline,2022-09-01 14:04:00,2022,9
744,0c70b350-03e6-4fc6-9062-51590fb29066,Lake Missoula,Richy Mitch & The Coal Miners,RMCM,2022-09-01 14:02:00,2022,9
745,02697b18-88e5-4ef8-b9ef-fae14c1ed60f,Iffy,Caamp,Caamp,2022-09-01 13:58:00,2022,9
746,8aa53cfc-0c80-4af9-ad15-fc5045329f9c,Sleepless in Seattle,Noah Gundersen,A Pillar of Salt,2022-09-01 13:54:00,2022,9
747,,Sweetpie,GEOFFROY,Live Slow Die Wise,2022-09-01 13:50:00,2022,9
748,b3ca056c-bc63-4e75-91e1-59ec3944779a,Halloween,Novo Amor,"Cannot Be, Whatsoever",2022-09-01 13:48:00,2022,9
749,,Missing Piece - Acoustic,Vance Joy,Missing Piece (Acoustic),2022-09-01 13:44:00,2022,9
750,0d60e35e-6261-4eb5-af5d-3d6ca5f10a99,"Dark, Dark, Dark",Gregory Alan Isakov,Evening Machines,2022-09-01 13:41:00,2022,9
751,490ccebf-fd6a-476b-aa22-892263e84f57,Silver Lining,Mt. Joy,Mt. Joy,2022-09-01 13:38:00,2022,9
752,7f6b0513-e451-4586-bab6-3f8b1b4ff1e6,Amsterdam,Wild Rivers,Sidelines,2022-09-01 13:34:00,2022,9
753,1abf52d2-4cc2-46c3-9ad8-ba702427172b,Mess Is Mine,Vance Joy,Dream Your Life Away,2022-09-01 13:30:00,2022,9
754,,Dear August,PJ Harding,Dear August,2022-09-01 13:27:00,2022,9
755,7a5fd8f4-114b-42cb-bfbd-fe4d9c7d7d46,Sad!,XXXTENTACION,?,2022-09-01 13:21:00,2022,9
756,154667ac-bead-32c1-9b9b-2337341d2b84,Paper Wings,Rise Against,Siren Song of the Counter-Culture,2022-09-01 12:38:00,2022,9
757,,Just A Friend,Biz Markie,Just A Friend - EP,2022-09-01 12:08:00,2022,9
758,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-09-01 12:03:00,2022,9
759,95c279d1-c5b2-487d-93ff-35fc87236177,FOOL'S GOLD,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",2022-08-31 22:43:00,2022,8
760,,GO (feat. Juice WRLD),The Kid LAROI,GO (feat. Juice WRLD),2022-08-31 22:41:00,2022,8
761,,Goodbyes,Elijah Midjord,Goodbyes,2022-08-31 22:37:00,2022,8
762,219e997f-8ec0-4220-be3e-1a7e9087f1ac,Dancing in the Moonlight (It's Caught Me in It's Spotlight),Thin Lizzy,Bad Reputation (Expanded Edition),2022-08-31 21:31:00,2022,8
763,,The Boys Are Back in Town,Thin Lizzy,Jailbreak (Deluxe Edition),2022-08-31 21:27:00,2022,8
764,,Takin' Care Of Business,Bachman-Turner Overdrive,Bachman-Turner Overdrive II,2022-08-31 21:22:00,2022,8
765,,One Right Now (with The Weeknd),Post Malone,One Right Now,2022-08-31 21:18:00,2022,8
766,03064dc6-1f62-479b-870c-f6d3dd089d8d,"It's A Man's, Man's, Man's World - Single Version / Mono",James Brown,I Feel Good: The Very Best Of,2022-08-31 15:14:00,2022,8
767,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-31 14:17:00,2022,8
768,,What Do You Mean?,Skepta,Ignorance is Bliss,2022-08-31 12:26:00,2022,8
769,,Doja,Central Cee,Doja,2022-08-31 12:08:00,2022,8
770,,Heaven Is a Place on Earth,Belinda Carlisle,Greatest Vol.1 - Belinda Carlisle,2022-08-30 22:04:00,2022,8
771,,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,The Essential Kenny Loggins,2022-08-30 22:01:00,2022,8
772,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 21:56:00,2022,8
773,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 19:47:00,2022,8
774,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 19:43:00,2022,8
775,,Higher Love,Steve Winwood,Music Of The Year - 1986/Compilation,2022-08-30 19:39:00,2022,8
