,mbid,Song,Artist,Album,Date,Year,Month,User
16723,,Bubbly,Colbie Caillat,Coco,2021-11-13 08:36:00,2021,11,wuhuspringfield
16724,,Love in This Club (feat. Young Jeezy),Usher,Here I Stand,2021-11-13 08:31:00,2021,11,wuhuspringfield
16725,02925e8c-e013-41f8-b552-68bc731cbfa9,Use Somebody,Kings of Leon,Only by the Night,2021-11-13 08:27:00,2021,11,wuhuspringfield
16726,02925e8c-e013-41f8-b552-68bc731cbfa9,Use Somebody,Kings of Leon,Only by the Night,2021-11-13 07:54:00,2021,11,wuhuspringfield
16727,34057be8-6e5b-3be3-86ca-c38c408ba190,Live Your Life,T.I.,Paper Trail,2021-11-13 07:46:00,2021,11,wuhuspringfield
16728,,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,2021-11-13 07:39:00,2021,11,wuhuspringfield
16729,,Viva la Vida,Coldplay,Viva la Vida or Death and All His Friends,2021-11-13 07:35:00,2021,11,wuhuspringfield
16730,9cf20a51-4344-4db6-bd39-d762a195d91d,HeMotions,Juice WRLD,Death Race for Love,2021-11-13 07:18:00,2021,11,wuhuspringfield
16731,,"Wait For Me (feat. G-Eazy, Wiz Khalifa & Prinze George)",Carnage,"Wait For Me (feat. G-Eazy, Wiz Khalifa & Prinze George)",2021-11-13 07:06:00,2021,11,wuhuspringfield
16732,696f6fdd-370f-4aae-97cf-620cd19bb551,You,Bryce Bishop,You,2021-11-13 07:04:00,2021,11,wuhuspringfield
16733,d641967e-346a-4d04-91a9-c5b093f85ea2,Just What I Am,Kid Cudi,Indicud,2021-11-13 07:00:00,2021,11,wuhuspringfield
16734,,Dragon,Elroy,SUNNY,2021-11-13 06:57:00,2021,11,wuhuspringfield
16735,c3bf8343-c47c-4afc-b542-72950c2ba902,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2021-11-13 06:54:00,2021,11,wuhuspringfield
16736,2200b867-c945-4399-939d-3adca26bcc38,Man on the Moon,Kid Cudi,Man on the Moon: The End of Day,2021-11-13 06:50:00,2021,11,wuhuspringfield
16737,,Shut The World Out,Kasbo,The Making of a Paracosm,2021-11-13 06:47:00,2021,11,wuhuspringfield
16738,,Racer++,Elroy,Demonslayer,2021-11-13 06:43:00,2021,11,wuhuspringfield
16739,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-13 06:40:00,2021,11,wuhuspringfield
16740,75d494b6-0a81-3a3e-9267-9ee9797a70f8,This Plane,Wiz Khalifa,Deal Or No Deal,2021-11-13 06:36:00,2021,11,wuhuspringfield
16741,,Hollow,Emmit Fenn,Hollow,2021-11-12 19:54:00,2021,11,wuhuspringfield
16742,,Racer++,Elroy,Demonslayer,2021-11-12 19:51:00,2021,11,wuhuspringfield
16743,,Hemma - Chet Porter Remix,Kasbo,Hemma (Chet Porter Remix),2021-11-12 19:46:00,2021,11,wuhuspringfield
16744,1544330b-96b5-49bd-98f9-43bc685e7b84,Hemma,Kasbo,Hemma (Chet Porter Remix),2021-11-12 19:43:00,2021,11,wuhuspringfield
16745,,Nische,Lot,Der Plan ist übers Meer,2021-11-12 19:31:00,2021,11,wuhuspringfield
16746,0930c08d-f688-4ede-8140-c6c197269738,Regen,Enno Bunger,Wir Sind Vorbei,2021-11-12 19:27:00,2021,11,wuhuspringfield
16747,0dada4c3-2c28-4c0d-a158-54b89e3739c9,Schau mich nicht so an,Lotte,Glück,2021-11-12 19:23:00,2021,11,wuhuspringfield
16748,7f9ed3d2-1e92-4b2d-8f6a-88eadcbf66f3,Ponyhof,Enno Bunger,"Was berührt, das bleibt",2021-11-12 19:17:00,2021,11,wuhuspringfield
