,mbid,Song,Artist,Album,Date,Year,Month
0,9cf58bcc-a658-4099-ade8-837651498c88,Together Again,Stephen Rennicks,Normal People (Original Score from the Television Series),2022-11-07 14:26:00,2022,11
1,,Citylights - Radio Edit,Max Elto,Citylights (Radio Edit),2022-11-07 14:21:00,2022,11
2,,Die For You,Joji,Smithereens,2022-11-07 14:01:00,2022,11
3,047386a3-20a4-4410-9574-4a58a49769eb,Cruel Summer,Taylor Swift,Lover,2022-11-06 16:33:00,2022,11
4,,"Don't Think Twice, It's All Right",Bob Dylan,The Freewheelin' Bob Dylan,2022-11-06 09:48:00,2022,11
5,,Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan,2022-11-04 16:28:00,2022,11
6,,Seeds,Yoke Lore,Seeds,2022-11-04 16:19:00,2022,11
7,,dropout (w/ blackbear),brakence,dropout (w/ blackbear),2022-11-04 15:38:00,2022,11
8,,For Elena,East Forest,Music To Be Born To,2022-11-04 15:29:00,2022,11
9,667f76a1-2d91-4989-9580-90d6634b5643,Fly Away With Me,Tom Walker,Fly Away With Me,2022-11-04 15:26:00,2022,11
10,,Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan,2022-11-04 14:42:00,2022,11
11,7a99d07b-5f94-4aa6-97fc-a568943e76b9,Knockin' on Heaven's Door,Bob Dylan,Pat Garrett & Billy the Kid (Soundtrack from the Motion Picture),2022-11-04 14:39:00,2022,11
12,42281557-80c6-4119-b355-2abcd93d06d4,Drift Away - Single Version,Dobie Gray,Ultimate Collection: Dobie Gray,2022-11-04 14:33:00,2022,11
13,29026e0c-0297-42bb-b75a-c78e8b69a28b,Be My Mistake,The 1975,A Brief Inquiry Into Online Relationships,2022-11-04 14:28:00,2022,11
14,,BLAHBLAHBLAH DEMO,Joji,Smithereens,2022-11-04 14:25:00,2022,11
15,,Night Rider,Joji,Smithereens,2022-11-04 14:23:00,2022,11
16,,Dissolve,Joji,Smithereens,2022-11-04 14:20:00,2022,11
17,,Before The Day Is Over,Joji,Smithereens,2022-11-04 14:16:00,2022,11
18,,Die For You,Joji,Smithereens,2022-11-04 14:13:00,2022,11
19,,Die For You,Joji,Smithereens,2022-11-04 13:53:00,2022,11
20,,Feeling Like The End,Joji,Smithereens,2022-11-04 13:51:00,2022,11
21,,Naked,BAYNK,ADOLESCENCE,2022-11-02 10:35:00,2022,11
22,,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),2022-11-01 18:32:00,2022,11
23,,Naked,BAYNK,ADOLESCENCE,2022-11-01 18:32:00,2022,11
24,01b7e81a-cabf-4c77-a2e4-1af2930d6a43,Paper Rings,Taylor Swift,Lover,2022-11-01 15:00:00,2022,11
25,9a2ac1c3-a473-4792-a600-8f5a08f25f58,Music for a sushi restaurant,Harry Styles,Harry's House,2022-11-01 14:56:00,2022,11
26,,Counting Stars,OneRepublic,Native,2022-11-01 14:52:00,2022,11
27,,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,2022-11-01 09:29:00,2022,11
28,,Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,2022-11-01 09:22:00,2022,11
29,,Hound Dog,Elvis Presley,Elvis' Golden Records,2022-11-01 09:20:00,2022,11
30,25847be8-ead2-4f16-9647-a3c487d90677,Violent Crimes,Kanye West,ye,2022-11-01 07:43:00,2022,11
31,27710e36-1237-4aff-8e20-41b8f97bdf1f,Lift Yourself,Kanye West,Lift Yourself,2022-11-01 07:40:00,2022,11
32,2ac0a2bf-a292-4229-8534-5ef525b61e4d,I Love Kanye,Kanye West,The Life of Pablo,2022-11-01 07:39:00,2022,11
