,mbid,Song,Artist,Album,Date,Year,Month
52,,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-09 23:39:00,2022,11
53,164cebdc-4f9c-459b-b472-f73f6014870a,St. Ides,Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-09 23:36:00,2022,11
54,,Kevin (feat. Leon Bridges),Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-09 23:31:00,2022,11
55,,Light Tunnels (Feat. Mike Slap),Macklemore & Ryan Lewis,This Unruly Mess I've Made,2022-11-09 23:24:00,2022,11
56,26b8651f-231d-4cf0-b34e-048ee4928095,If It Means a Lot to You,A Day to Remember,Homesick,2022-11-09 23:17:00,2022,11
57,67772b41-217c-46f1-a6a6-ca77d46bd3cb,Collide - Acoustic Version,Howie Day,Stop All The World Now (Special Edition),2022-11-09 23:12:00,2022,11
58,,Everchanging - Acoustic,Rise Against,Long Forgotten Songs: B-Sides & Covers 2000-2013,2022-11-09 23:08:00,2022,11
59,7c3b4afa-6505-474e-ba80-7f075b7b73ef,Opaline,Novo Amor,"Cannot Be, Whatsoever",2022-11-09 22:58:00,2022,11
60,,i should probably get moving,Boxboys,together,2022-11-09 22:54:00,2022,11
61,,The Frowner,Joey Pecoraro,The Frowner,2022-11-09 22:50:00,2022,11
62,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 21:41:00,2022,11
63,c64cbf1d-0c3c-4ee9-8bec-3f1913315e5a,Gummy Bears And Sleeping In Alone,Joey Pecoraro,Gummy Bears and Sleeping In Alone,2022-11-09 21:34:00,2022,11
64,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 21:30:00,2022,11
65,,Silent,Aarigod,Silent,2022-11-09 13:09:00,2022,11
66,,DAYDREAMER,Lukas Stevens,Winter Collection,2022-11-09 13:06:00,2022,11
67,,Cinema - Acoustic,Gary Go,Cinema (Acoustic),2022-11-09 13:03:00,2022,11
68,a21b07c2-3052-43b4-ad33-8d60a42a6df4,Blue Sky,LaxCity,Purity,2022-11-09 13:00:00,2022,11
69,,holiday romance,Shoffy,holiday romance,2022-11-09 12:42:00,2022,11
70,,as we hang up a picture,Dobi,Gouldian Finch 4,2022-11-09 12:37:00,2022,11
71,,Home,Kidswaste,Colors of Your Heart,2022-11-09 12:23:00,2022,11
72,,Moss,Imagiro,Threads,2022-11-09 12:21:00,2022,11
73,,silverwood,Billy Hammer,silverwood,2022-11-09 12:20:00,2022,11
74,,thursday drive,Ford.,The Color of Nothing (Reprise),2022-11-09 12:17:00,2022,11
75,,warm sand,fujitsu,corals 3,2022-11-09 12:14:00,2022,11
76,,i should probably get moving,Boxboys,together,2022-11-09 12:12:00,2022,11
77,,The Frowner,Joey Pecoraro,The Frowner,2022-11-09 12:09:00,2022,11
78,71f8cb6b-e8e6-4684-9fa8-44277c5a3a84,Weather Eyes,Trade Wind,The Day We Got What We Deserved,2022-11-09 12:07:00,2022,11
79,,DAYDREAMER,Lukas Stevens,Winter Collection,2022-11-09 12:04:00,2022,11
80,,"Camp Adventure (Tokyo, JP)",Delta Sleep,Soft Sounds,2022-11-09 12:01:00,2022,11
81,,Towns,Forester,A Range of Light,2022-11-09 11:58:00,2022,11
82,,Naked,BAYNK,ADOLESCENCE,2022-11-09 11:55:00,2022,11
83,,as we hang up a picture,Dobi,Gouldian Finch 4,2022-11-09 11:50:00,2022,11
84,,Bedford Falls (Reprise),Ford.,Bedford Falls (Reprise),2022-11-09 11:41:00,2022,11
85,c9b4dc7b-7d93-40d0-a336-29e8d08feb84,bedford falls,Ford.,Bedford Falls,2022-11-09 11:38:00,2022,11
86,c64cbf1d-0c3c-4ee9-8bec-3f1913315e5a,Gummy Bears And Sleeping In Alone,Joey Pecoraro,Gummy Bears and Sleeping In Alone,2022-11-09 11:35:00,2022,11
87,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 11:32:00,2022,11
88,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 11:19:00,2022,11
89,c64cbf1d-0c3c-4ee9-8bec-3f1913315e5a,Gummy Bears And Sleeping In Alone,Joey Pecoraro,Gummy Bears and Sleeping In Alone,2022-11-09 02:54:00,2022,11
90,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 02:51:00,2022,11
91,ed3dda0d-2720-4c92-a589-2cd086d9b7ba,Dinosaur,Joey Pecoraro,Deep in a Dream of You,2022-11-09 01:12:00,2022,11
92,,easier (with Joey Pecoraro),slenderbodies,are we?,2022-11-09 01:08:00,2022,11
93,00fcba7b-8722-469b-a0ec-82bb6495653a,Music for Happiness,Joey Pecoraro,Music for Happiness,2022-11-09 01:04:00,2022,11
94,,Bent,Joey Pecoraro,Old Time Radio,2022-11-09 01:00:00,2022,11
95,2266d72d-1cdb-4424-8e4e-189aaf26b31c,5am,Joey Pecoraro,Deep in a Dream of You,2022-11-09 00:58:00,2022,11
96,759727a1-efe3-497c-9647-d0a5debf786c,Husky,Joey Pecoraro,Little Pear,2022-11-09 00:56:00,2022,11
97,07ca9077-4a8f-4d10-ac50-c47a5f30a3f3,Play It Again,Joey Pecoraro,Music for Happiness,2022-11-09 00:53:00,2022,11
98,34c92d9c-6b57-4001-ae2a-00e809cbb46c,Lightning,Joey Pecoraro,Sea Monster,2022-11-09 00:50:00,2022,11
99,025bce66-f0bf-49ad-b234-fdea98b08ab4,Deep in a Dream of You,Joey Pecoraro,Deep in a Dream of You,2022-11-09 00:47:00,2022,11
100,f6a268d0-b7c5-4d2f-b0dc-96c9b87b8c18,Singing With No Voice,Joey Pecoraro,Tired Boy,2022-11-09 00:44:00,2022,11
101,fdfc6b3b-3275-4385-9b3b-3f9a7b545f62,First Kiss,Joey Pecoraro,Music for Happiness,2022-11-09 00:41:00,2022,11
