,mbid,Song,Artist,Album,Date,Year,Month
0,257b6a0a-9d31-4710-86c0-67cf34c0793e,Tired Boy,Joey Pecoraro,Tired Boy,2022-11-08 23:10:00,2022.0,11.0
1,,The Frowner,Joey Pecoraro,The Frowner,2022-11-08 23:06:00,2022.0,11.0
2,14830c63-55dd-41a1-87f5-5d26c0a06898,Gameboy in Traffic,Jaeden Camstra,Kids' Menu,2022-11-08 23:04:00,2022.0,11.0
3,,The Frowner,Joey Pecoraro,The Frowner,2022-11-08 23:00:00,2022.0,11.0
4,,rip my eyes out,KcChalk,rip my eyes out,2022-11-08 22:55:00,2022.0,11.0
5,,Raise Em Up - Afro Beat Mix,Alonestar,Raise Em Up (Afro Beat Mix),2022-11-08 22:52:00,2022.0,11.0
6,,numb (feat. blackbear) [slow + reverb],lilspirit,numb (feat. blackbear) [slow + reverb / nitecore],2022-11-08 22:48:00,2022.0,11.0
7,,YOUR VOICE,bear bear & friends,YOUR VOICE,2022-11-08 22:45:00,2022.0,11.0
8,,JADED,NVSH,JADED,2022-11-08 19:38:00,2022.0,11.0
9,b0774216-5682-4d59-8b9f-cd86c2431ef7,5AM,Amber Run,5AM (Expanded Edition),2022-11-08 19:32:00,2022.0,11.0
10,,Silent,Aarigod,Silent,2022-11-08 19:25:00,2022.0,11.0
11,7c3b4afa-6505-474e-ba80-7f075b7b73ef,Opaline,Novo Amor,"Cannot Be, Whatsoever",2022-11-08 12:00:00,2022.0,11.0
12,,Silent,Aarigod,Silent,2022-11-08 11:57:00,2022.0,11.0
13,,Give Me A Little,SyENCE,Give Me A Little,2022-11-08 11:52:00,2022.0,11.0
14,,Wir sind okay,Kayef,Wir sind okay,2022-11-08 11:48:00,2022.0,11.0
15,,Savannah,Diviners,Savannah,2022-11-08 11:43:00,2022.0,11.0
16,44f9381c-dba6-4b9f-81b5-b1ca7662ea27,Follow the Sun,Xavier Rudd,Spirit Bird,2022-11-08 11:39:00,2022.0,11.0
17,,Silent,Aarigod,Silent,2022-11-08 11:29:00,2022.0,11.0
18,,Daydreaming,Jack Grace,Turn To Something You Know,2022-11-08 04:10:00,2022.0,11.0
19,,three sixty five,Neptune,three sixty five,2022-11-08 02:34:00,2022.0,11.0
