Date_month,,User,Date_month,Artist,Song,Count
2022-07,8462,wuhuspringfield,2022-07,3rem,Midnight Motel,2
2022-07,8539,wuhuspringfield,2022-07,BabyJake,Head In The Clouds,2
2022-08,9237,wuhuspringfield,2022-08,Hailee Steinfeld,I Love You's,9
2022-08,9240,wuhuspringfield,2022-08,Hailee Steinfeld,Most Girls,9
2022-08,9185,wuhuspringfield,2022-08,Eddie Vedder,Hard Sun,5
2022-08,9154,wuhuspringfield,2022-08,Christoffer Franzen,Phenomenon,4
2022-08,9158,wuhuspringfield,2022-08,Common Tiger,"We Did It, Tim, We're Millionaires",4
2022-09,10056,wuhuspringfield,2022-09,Joey Pecoraro,Learning How To Walk,10
2022-09,9874,wuhuspringfield,2022-09,Bryce Bishop,'communication is the basis of every strong relationship',9
2022-09,10204,wuhuspringfield,2022-09,Maximillian,Ripples,7
2022-09,10394,wuhuspringfield,2022-09,The National,About Today - 2021 Remaster,6
2022-09,10131,wuhuspringfield,2022-09,LSDREAM,ACE OF CUPS,5
2022-10,10822,wuhuspringfield,2022-10,Kid Cudi,She's Lookin' for Me,25
2022-10,10684,wuhuspringfield,2022-10,Edwin Raphael,Will You Think of Me Later?,20
2022-10,10980,wuhuspringfield,2022-10,The Chainsmokers,I Hope You Change Your Mind - lofi remix,13
2022-10,11010,wuhuspringfield,2022-10,Thunder Jackson,Caroline,12
2022-10,11068,wuhuspringfield,2022-10,girl in red,october passed ME BY,9
2022-11,11156,wuhuspringfield,2022-11,BAYNK,When I'm Alone,16
2022-11,11152,wuhuspringfield,2022-11,BAYNK,Touch Me (Hold My Hand),13
2022-11,11215,wuhuspringfield,2022-11,Madson.,light after the darkness,9
2022-11,11223,wuhuspringfield,2022-11,NVSH,JADED,9
2022-11,11253,wuhuspringfield,2022-11,Unodavid,In My Head,8
