,mbid,Song,Artist,Album,Date,Year,Month
1388,,You Right,Doja Cat,Planet Her,2022-08-13 15:34:00,2022,8
1389,,No Guidance (feat. Drake),Chris Brown,Indigo,2022-08-13 15:32:00,2022,8
1390,,Summertime in Paris,Jaden,ERYS (Deluxe),2022-08-13 15:27:00,2022,8
1391,19b5d1d9-b96c-41c0-bee2-efdd5473d72f,Edition,Rex Orange County,Edition,2022-08-13 15:24:00,2022,8
1392,20ef5a77-b596-4263-818b-b1a7d1edbfb5,Ivy,Frank Ocean,Blonde,2022-08-13 15:19:00,2022,8
1393,,Die Hard,Kendrick Lamar,Mr. Morale & the Big Steppers,2022-08-13 15:15:00,2022,8
1394,0315beda-f61b-4548-9762-13e7f45537ca,Remote Control,Kanye West,Donda,2022-08-13 15:12:00,2022,8
1395,25847be8-ead2-4f16-9647-a3c487d90677,Violent Crimes,Kanye West,ye,2022-08-13 15:08:00,2022,8
1396,,Ghost Town,Kanye West,ye,2022-08-13 15:04:00,2022,8
1397,4295f831-a2bd-4b23-a2f7-5e8f3d2b3074,No Mistakes,Kanye West,ye,2022-08-13 15:02:00,2022,8
1398,,Wouldn't Leave,Kanye West,ye,2022-08-13 14:58:00,2022,8
1399,0c60b1b3-879d-423b-ac30-e768fca542a0,Father Stretch My Hands Pt. 1,Kanye West,The Life of Pablo,2022-08-13 14:57:00,2022,8
1400,,Bad Vibes Forever,XXXTENTACION,Bad Vibes Forever,2022-08-13 14:53:00,2022,8
1401,eb10fc75-765d-4dec-ba7d-571af7d047a2,One Punch,Aries,"BELIEVE IN ME, WHO BELIEVES IN YOU",2022-08-13 14:51:00,2022,8
1402,,Walked In,Kevin Powers,Walked In,2022-08-13 14:49:00,2022,8
1403,31fbf393-98b5-4071-934b-838f8514d948,Closer,The Chainsmokers,Closer,2022-08-13 14:45:00,2022,8
1404,,Como,Bryce Bishop,Como,2022-08-13 14:43:00,2022,8
1405,,Costa Rica (feat. The Kid LAROI) - Remix,Bankrol Hayden,Pain Is Temporary,2022-08-13 14:41:00,2022,8
1406,,When the Saints Go Marching In,Louis Armstrong,C'est Si Bon,2022-08-13 14:21:00,2022,8
1407,,ABC,The Jackson 5,ABC,2022-08-13 14:18:00,2022,8
1408,,Daydreams,Martin Gauffin,Flourishing Views,2022-08-13 14:15:00,2022,8
1409,42e653af-67bd-406e-a270-fb013db3a016,Mood in A,Parra for Cuva,Mood in C,2022-08-13 14:13:00,2022,8
1410,,Wasteland,NK-67,Wasteland,2022-08-13 14:09:00,2022,8
1411,,Ouvre,Cecilie Noer,Train Track Home,2022-08-13 14:07:00,2022,8
1412,08423523-7622-31c8-829d-83ba66ef18ec,"O come, all ye faithful",John Francis Wade,A Festival of Carols in Brass,2022-08-13 14:03:00,2022,8
1413,04ddfe53-0495-4b94-9a5f-67ceedd55ab3,Gym Class,Lil Peep,gym class,2022-08-13 13:59:00,2022,8
1414,,Overwhelmed,Trevor Ransom,Spring EP,2022-08-13 13:54:00,2022,8
1415,,Goodbyes,Elijah Midjord,Goodbyes,2022-08-13 13:40:00,2022,8
1416,,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Random Access Memories,2022-08-13 13:34:00,2022,8
1417,,Left and Right (feat. Jung Kook of BTS),Charlie Puth,Left and Right (feat. Jung Kook of BTS),2022-08-12 23:59:00,2022,8
1418,2435d8c8-5892-4eee-b8ea-a5ae7a6e267b,Waves,Kanye West,The Life of Pablo,2022-08-12 15:50:00,2022,8
1419,4189287c-aff0-457f-8257-0eec8a65b278,Mirror,Kendrick Lamar,Mr. Morale & the Big Steppers,2022-08-12 15:45:00,2022,8
1420,b610803f-b67c-4846-bb1f-e7612d8964c7,Praise God,Kanye West,Donda,2022-08-12 15:42:00,2022,8
1421,,Ghost Town,Kanye West,ye,2022-08-12 15:38:00,2022,8
1422,569769d3-10c2-4fb2-ada0-d1f3532f8ec9,Faneto,Chief Keef,Back From The Dead 2,2022-08-12 15:38:00,2022,8
1423,,Ghost Town,Kanye West,ye,2022-08-12 15:34:00,2022,8
1424,22e8fc74-3d25-4f9e-8ec8-f00fa649d875,KOD,J. Cole,KOD,2022-08-12 15:30:00,2022,8
1425,df0c3642-7876-441a-a8fb-f5488756b7f9,I Wonder,Kanye West,Graduation,2022-08-12 15:26:00,2022,8
1426,58a9391e-8a51-4112-819f-f80fef705b5f,The Story of O.J.,JAY-Z,4:44,2022-08-12 15:23:00,2022,8
1427,e441f024-f2a9-4cfb-a24e-d79e567f5434,Flashing Lights,Kanye West,Graduation,2022-08-12 15:19:00,2022,8
1428,09e665ad-987f-4616-9499-52fa2a32f8c3,Self Control,Frank Ocean,Blonde,2022-08-12 15:14:00,2022,8
