,mbid,Song,Artist,Album,Date,Year,Month
0,0ae8c5fc-f539-422b-bcc0-ea228ad8590d,Anomaly,Angels & Airwaves,The Dream Walker,2022-11-07 22:58:00,2022.0,11.0
1,047196e9-ee67-425d-8eae-d739e4f42099,Call to Arms,Angels & Airwaves,I-Empire,2022-11-07 22:53:00,2022.0,11.0
2,4df1aba6-469a-301a-8187-30a699186af6,The War,Angels & Airwaves,We Don't Need to Whisper,2022-11-07 22:46:00,2022.0,11.0
3,4f72791a-fbd0-368b-8b35-3e928c2c9963,Surrender,Angels & Airwaves,"Love, Pt. 1 & 2",2022-11-07 22:41:00,2022.0,11.0
4,,Paper Thin,Illenium,Fallen Embers,2022-11-07 22:37:00,2022.0,11.0
5,238cbc22-f3a2-36ae-bf9e-e9ad8c1603a8,Sirens,Angels & Airwaves,I-Empire,2022-11-07 22:33:00,2022.0,11.0
6,0831fafb-d4e1-4294-ae26-d1acbec680f4,Everything's Magic,Angels & Airwaves,I-Empire,2022-11-07 22:29:00,2022.0,11.0
7,00ef6af7-814b-3f6d-976e-1d8915bf495c,The Adventure,Angels & Airwaves,We Don't Need to Whisper,2022-11-07 22:24:00,2022.0,11.0
8,,Bathroom Light,Mt. Joy,Orange Blood,2022-11-07 22:21:00,2022.0,11.0
9,3cac33c3-848f-498a-9a24-e6ff88571140,I Should Go - Solo Version,James Vincent McMorrow,I Should Go (Solo Version),2022-11-07 21:50:00,2022.0,11.0
10,03b69009-1793-3d65-96e2-d267ed28209f,Heartbeats,José González,Veneer,2022-11-07 21:47:00,2022.0,11.0
11,08f9a407-1f58-3812-ba85-8ff0d2792cf6,O I Long to Feel Your Arms Around Me,Father John Misty,Fear Fun,2022-11-07 21:46:00,2022.0,11.0
12,b0774216-5682-4d59-8b9f-cd86c2431ef7,5AM,Amber Run,5AM (Expanded Edition),2022-11-07 21:41:00,2022.0,11.0
13,,Resin,Dustin Tebbutt,Resin,2022-11-07 21:38:00,2022.0,11.0
14,24ed7641-bcc6-44d5-9723-9eefa0ac13e5,Tenenbaum,The Paper Kites,States,2022-11-07 21:34:00,2022.0,11.0
15,ddb0fdbd-1bdc-4f5a-8ebf-38f01ac49427,Birdcage,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 21:31:00,2022.0,11.0
16,,Topanga Canyon,John Vincent III,Songs from the Valley,2022-11-07 21:07:00,2022.0,11.0
17,01312e83-c37b-4bac-83f4-2284585c759c,Crosses,José González,Veneer,2022-11-07 20:38:00,2022.0,11.0
18,3923d313-61a6-4c2d-8a36-73a823f2d483,Somebody Loves You,AyokAy,Digital Dreamscape (Deluxe),2022-11-07 20:35:00,2022.0,11.0
19,,Naked,BAYNK,ADOLESCENCE,2022-11-07 20:32:00,2022.0,11.0
20,,light after the darkness,Madson.,light after the darkness,2022-11-07 20:27:00,2022.0,11.0
21,,JADED,NVSH,JADED,2022-11-07 20:24:00,2022.0,11.0
22,9a7a7965-4eba-4973-be1a-3df36f1b8660,Beige (unburdened),Yoke Lore,Beige (unburdened),2022-11-07 19:54:00,2022.0,11.0
23,62f32a77-fe71-4681-b89f-41f00c2a2bec,Decimal,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 19:51:00,2022.0,11.0
24,,numb (feat. blackbear),lilspirit,numb (feat. blackbear) [slow + reverb / nitecore],2022-11-07 19:49:00,2022.0,11.0
25,,Red Lights - EMBRZ Remix,Lane 8,Red Lights (EMBRZ Remix),2022-11-07 19:10:00,2022.0,11.0
26,,Until We Leave the Ground - Steve James Remix,Emmit Fenn,Far from Here (The Remix Album),2022-11-07 19:06:00,2022.0,11.0
27,,I’ll Find My Way To You,Elderbrook,I’ll Find My Way To You,2022-11-07 19:02:00,2022.0,11.0
28,1950aa53-18ab-47a2-bb38-038a8b0dbeec,Control,Emmit Fenn,The Last Dance,2022-11-07 18:59:00,2022.0,11.0
29,,Red Lights - EMBRZ Remix,Lane 8,Red Lights (EMBRZ Remix),2022-11-07 16:27:00,2022.0,11.0
30,,Until We Leave the Ground - Steve James Remix,Emmit Fenn,Far from Here (The Remix Album),2022-11-07 16:24:00,2022.0,11.0
31,,I’ll Find My Way To You,Elderbrook,I’ll Find My Way To You,2022-11-07 16:19:00,2022.0,11.0
32,1950aa53-18ab-47a2-bb38-038a8b0dbeec,Control,Emmit Fenn,The Last Dance,2022-11-07 16:17:00,2022.0,11.0
33,,light after the darkness,Madson.,light after the darkness,2022-11-07 16:13:00,2022.0,11.0
34,,JADED,NVSH,JADED,2022-11-07 16:10:00,2022.0,11.0
35,17fb0240-9774-3b1e-8a25-870fbf8ed6e3,Cannons,Youth Lagoon,The Year of Hibernation,2022-11-07 16:10:00,2022.0,11.0
36,47fa67d9-1f54-4ba6-84c8-a42207352181,Byegone,Volcano Choir,Repave,2022-11-07 13:47:00,2022.0,11.0
37,12f290bc-76e7-4b02-87c8-43ade7436908,Fire Escape,Half Moon Run,Dark Eyes,2022-11-07 13:44:00,2022.0,11.0
38,291e58bf-bb24-3bfa-81d5-ea87825d3cd9,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm (10th Anniversary Edition),2022-11-07 13:41:00,2022.0,11.0
39,,Slow Song,John Vincent III,Songs from the Valley,2022-11-07 13:36:00,2022.0,11.0
40,730d5704-9fdd-4ad9-992e-4c3b537daf70,Keep Me,Novo Amor,"Cannot Be, Whatsoever",2022-11-07 13:33:00,2022.0,11.0
41,d2c39f09-5d2e-4c94-8ce3-b3d1acb000fd,As Luck Would Have It,Tom Rosenthal,Who's That In The Fog?,2022-11-07 13:31:00,2022.0,11.0
42,0279023d-904a-4c87-b449-ac661d478360,Dark Side of The Moon,Chris Staples,American Soft,2022-11-07 13:27:00,2022.0,11.0
43,,Friends (feat. Bon Iver),Francis and the Lights,"Farewell, Starlite!",2022-11-07 13:24:00,2022.0,11.0
44,0d2af35c-bd6b-4c0e-bafb-513efd648783,Digging Shelters,Neil Halstead,Palindrome Hunches,2022-11-07 13:20:00,2022.0,11.0
45,,City Rain,John Vincent III,Songs from the Valley,2022-11-07 13:16:00,2022.0,11.0
46,5b3a0d8d-b1f9-4eac-b0c4-346cbd57a065,From Gold,Novo Amor,"Woodgate, NY",2022-11-07 13:12:00,2022.0,11.0
47,301580da-7960-4ded-8a5c-9af1cd6d4f1e,1914,Florist,The Birds Outside Sang,2022-11-07 13:10:00,2022.0,11.0
48,28d6a958-3005-4545-9a0f-7699a593e6bb,Big Sky Country,Leif Vollebekk,Twin Solitude,2022-11-07 13:05:00,2022.0,11.0
49,,Bathroom Light,Mt. Joy,Orange Blood,2022-11-07 13:02:00,2022.0,11.0
50,79b769ea-25a4-4823-ad2d-55f0a00788e8,Labradors,Hailaker,Holding,2022-11-07 12:59:00,2022.0,11.0
51,,Next To You,John Vincent III,Songs from the Valley,2022-11-07 12:55:00,2022.0,11.0
