,mbid,Song,Artist,Album,Date,Year,Month
835,109169fb-c02e-487b-8e2c-889c2e0d75fa,Freedom is Priceless,SAINt JHN,While the World Was Burning,2022-10-02 22:34:00,2022,10
836,,Last Time,Aaron May,No Recognition,2022-10-02 22:30:00,2022,10
837,1eec6f53-ee59-4ebc-ba49-9e559d481b57,The Prayer,Kid Cudi,a KiD named CuDi,2022-10-02 22:27:00,2022,10
838,,THE BEACH,Vince Staples,Ramona Park Broke My Heart,2022-10-02 22:26:00,2022,10
839,762b704b-d81c-44df-9547-51d171cfa11f,"love, of money",Mavi,let the sun talk,2022-10-02 22:24:00,2022,10
840,297a4d37-d448-4706-8280-1dd39bcf9842,JV Movie Score,Junior Varsity,Junior Varsity,2022-10-02 22:23:00,2022,10
841,28fcc238-1378-414b-9b84-86fc15292aa2,L$D,A$AP Rocky,AT.LONG.LAST.A$AP,2022-10-02 22:19:00,2022,10
842,e5dd9fca-4b92-498a-babb-0014aa358735,Wurli,Dominic Fike,What Could Possibly Go Wrong,2022-10-02 22:16:00,2022,10
843,2200b867-c945-4399-939d-3adca26bcc38,Man on the Moon,Kid Cudi,Man on the Moon: The End of Day,2022-10-02 22:13:00,2022,10
844,209cecce-4c7a-4ed8-b204-7c44e511339c,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,2022-10-02 22:07:00,2022,10
845,,"Teleport 2 Me, Jamie (feat. Desire)",WZRD,WZRD,2022-10-02 22:03:00,2022,10
846,,"Burrow (with Don Toliver, Steve Aoki & Dot Da Genius) - Bonus Track",Kid Cudi,Entergalactic,2022-10-02 22:00:00,2022,10
847,,Somewhere to Fly (with Don Toliver),Kid Cudi,Entergalactic,2022-10-02 21:57:00,2022,10
848,fb838626-6993-4201-abed-9c484781efb6,My Drug,Kid Cudi,Entergalactic,2022-10-02 21:55:00,2022,10
849,3fbee2da-e664-48b4-a419-16c102c1e9e7,She's Lookin' for Me,Kid Cudi,Entergalactic,2022-10-02 21:51:00,2022,10
850,,Can't Shake Her (with Ty Dolla $ign),Kid Cudi,Entergalactic,2022-10-02 21:48:00,2022,10
851,10cdb7fd-3d26-4ced-a8f1-73899719ba33,Maybe So,Kid Cudi,Entergalactic,2022-10-02 21:44:00,2022,10
852,68d9e4f7-9df9-4867-8836-8acb69d57c04,Livin' My Truth,Kid Cudi,Entergalactic,2022-10-02 21:42:00,2022,10
853,,Willing To Trust (with Ty Dolla $ign),Kid Cudi,Entergalactic,2022-10-02 21:37:00,2022,10
854,4993d164-dfea-4eff-92b5-a06d369e48ae,In Love,Kid Cudi,Entergalactic,2022-10-02 21:33:00,2022,10
855,94da83d6-5f2a-426a-a5f9-40c56f0d3a78,Ignite the Love,Kid Cudi,Entergalactic,2022-10-02 21:31:00,2022,10
856,ea370d3d-83d1-4b59-9039-94f4f5a0a149,Angel,Kid Cudi,Entergalactic,2022-10-02 21:28:00,2022,10
857,48406f3f-3b6c-4b01-a686-4c96188d225c,Do What I Want,Kid Cudi,Entergalactic,2022-10-02 20:41:00,2022,10
